opportunity_id,account_name,account_id,segment,stage,amount_brl,close_date,owner_email,forecast_category,created_date,days_in_stage,hubspot_contact_id,stage_canonical,forecast_category_canonical,canonical_name,implied_days,data_quality,days_recalculated,is_stale_opportunity,is_open,slippage_days,is_slippage,is_negative_amount,is_closed_won,is_closed_lost,close_quarter,created_quarter,segment_original,canonical_segment,segment_confidence,segment_source,sales_cycle_days
OPP-2024190,BETA SOLUTIONS,ACC-1101,SMB,Closed Won,17627.92,2024-11-17,mariana@raptorsoft.com,commit,2024-02-04,83.0,HS-90698,Closed Won,commit,betasolutions,287.0,,,False,False,0,False,False,True,False,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,287.0
OPP-2024191,ConnectWave,ACC-1107,Mid-Market,Proposal,32964.69,2024-07-14,carlos@raptorsoft.com,Omit,2023-10-25,25.0,HS-90171,Proposal,omit,connectwave,263.0,,,False,True,275,True,False,False,False,2024Q3,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024192,TapFlow,,Mid-Market,Qualification,133794.1,2024-11-24,,Pipeline,2023-09-06,92.0,HS-90182,Discovery/Qualification,pipeline,tapflow,445.0,,,False,True,142,True,False,False,False,2024Q4,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024193,Mind Box,ACC-1111,Mid-Market,Discovery,78533.76,2024-04-19,,Pipeline,2024-02-19,109.0,,Discovery/Qualification,pipeline,mindbox,60.0,,,False,True,361,True,False,False,False,2024Q2,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024194,BETA SOLUTIONS,ACC-1101,Mid-Market,Proposal,86878.52,2024-12-30,ana.lima@raptorsoft.com,Commit,2024-09-21,114.0,HS-90011,Proposal,commit,betasolutions,100.0,,,False,True,106,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024195,mindbox,ACC-1111,SMB,Negotiation,23800.32,2024-06-22,pedro@raptorsoft.com,best case,2023-07-06,25.0,HS-90769,Negotiation,best_case,mindbox,352.0,,,False,True,297,True,False,False,False,2024Q2,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024196,bluepath,ACC-1119,Mid-Market,Discovery,53690.11,2023-08-29,joao@raptorsoft.com,Pipeline,2023-09-13,41.0,HS-90313,Discovery/Qualification,pipeline,bluepath,-15.0,,,False,True,595,True,False,False,False,2023Q3,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024197,VERTICE TECH,ACC-1103,Mid-Market,Proposal,124279.21,2024-10-07,carlos@raptorsoft.com,Best Case,2024-05-19,60.0,,Proposal,best_case,vertice,141.0,,,False,True,190,True,False,False,False,2024Q4,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024198,Zentra Tech,ACC-1112,Enterprise,Negotiation,390970.15,2025-01-28,pedro@raptorsoft.com,Pipeline,2023-11-21,76.0,HS-90556,Negotiation,pipeline,zentra,434.0,,,False,True,77,True,False,False,False,2025Q1,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024199,Rush Flow,ACC-1110,Mid-Market,Discovery,100752.09,2024-08-12,joao@raptorsoft.com,Omit,2023-11-30,109.0,HS-90143,Discovery/Qualification,omit,rushflow,256.0,,,False,True,246,True,False,False,False,2024Q3,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024200,Vertice Tech,ACC-1103,Enterprise,Closed Won,404588.95,2024-04-10,pedro@raptorsoft.com,Pipeline,2023-11-27,47.0,HS-90040,Closed Won,pipeline,vertice,135.0,,,False,False,0,False,False,True,False,2024Q2,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,135.0
OPP-2024201,DataPrime,ACC-1106,Mid-Market,Closed Lost,98419.22,2025-01-31,mariana@raptorsoft.com,Pipeline,2024-04-06,29.0,HS-90353,Closed Lost,pipeline,dataprime,300.0,,,False,False,0,False,False,False,True,2025Q1,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024202,POLARE,ACC-1109,Mid-Market,Qualification,91744.95,2024-12-15,mariana@raptorsoft.com,Pipeline,2024-11-25,93.0,,Discovery/Qualification,pipeline,polare,20.0,,,False,True,121,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024203,Innova Tech,ACC-1116,SMB,Qualification,10639.52,2023-10-10,mariana@raptorsoft.com,Best Case,2023-08-14,73.0,HS-90221,Discovery/Qualification,best_case,innova,57.0,,,False,True,553,True,False,False,False,2023Q4,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024204,BLUEPATH,ACC-1119,Enterprise,Qualification,428181.27,2024-11-23,carlos@raptorsoft.com,Best Case,2023-12-22,77.0,,Discovery/Qualification,best_case,bluepath,337.0,,,False,True,143,True,False,False,False,2024Q4,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024205,Orbit,ACC-1104,Enterprise,Closed Won,290347.67,2024-12-02,pedro@raptorsoft.com,best case,2024-11-28,1.0,HS-90379,Closed Won,best_case,orbit,4.0,,,False,False,0,False,False,True,False,2024Q4,2024Q4,Enterprise,Mid-Market,HIGH,employees_median,4.0
OPP-2024206,Amplia,ACC-1113,SMB,Closed Lost,17268.12,2025-01-17,ana.lima@raptorsoft.com,Best Case,2024-11-05,11.0,,Closed Lost,best_case,amplia,73.0,,,False,False,0,False,False,False,True,2025Q1,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024207,Core Logic,ACC-1114,SMB,closed-won,12189.65,2024-06-03,pedro@raptorsoft.com,Commit,2023-10-29,47.0,HS-90423,Closed Won,commit,corelogic,218.0,,,False,False,0,False,False,True,False,2024Q2,2023Q4,SMB,Mid-Market,HIGH,employees_median,218.0
OPP-2024208,MINDBOX,ACC-1111,SMB,Discovery,25217.79,2023-08-24,ana.lima@raptorsoft.com,Omit,2024-11-07,66.0,HS-90628,Discovery/Qualification,omit,mindbox,-441.0,,,False,True,600,True,False,False,False,2023Q3,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024209,corelogic,,SMB,qualification,21508.4,2024-07-19,mariana@raptorsoft.com,Pipeline,2023-07-06,67.0,HS-90792,Discovery/Qualification,pipeline,corelogic,379.0,,,False,True,270,True,False,False,False,2024Q3,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024210,ZENTRA,ACC-1112,SMB,Closed Lost,33136.85,2024-10-13,carlos@raptorsoft.com,Best Case,2024-01-23,1.0,,Closed Lost,best_case,zentra,264.0,,,False,False,0,False,False,False,True,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024211,AMPLIA SOLUCOES,ACC-1113,SMB,closed-won,7401.6,2024-11-15,ana.lima@raptorsoft.com,Commit,2024-01-22,52.0,,Closed Won,commit,amplia,298.0,,,False,False,0,False,False,True,False,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,298.0
OPP-2024212,beta solutions,ACC-1101,SMB,Closed Lost,14019.27,2024-06-10,carlos@raptorsoft.com,Omit,2023-10-28,59.0,,Closed Lost,omit,betasolutions,226.0,,,False,False,0,False,False,False,True,2024Q2,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024213,Beta Solutions Ltda,ACC-1101,Mid-Market,Closed Won,79491.12,2024-06-24,carlos@raptorsoft.com,Pipeline,2024-02-11,120.0,,Closed Won,pipeline,betasolutions,134.0,,,False,False,0,False,False,True,False,2024Q2,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,134.0
OPP-2024214,polaris,ACC-1118,Mid-Market,Proposal,59046.78,2024-05-17,joao@raptorsoft.com,pipeline,2024-01-11,87.0,HS-90782,Proposal,pipeline,polaris,127.0,,,False,True,333,True,False,False,False,2024Q2,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024215,BluePath,ACC-1119,Enterprise,Negotiation,329807.75,2024-08-30,pedro@raptorsoft.com,Commit,2024-07-15,68.0,HS-90033,Negotiation,commit,bluepath,46.0,,,False,True,228,True,False,False,False,2024Q3,2024Q3,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024216,Connect Wave,ACC-1107,Mid-Market,Proposal,-85208.47,2024-04-11,pedro@raptorsoft.com,Pipeline,2023-12-26,24.0,,Proposal,pipeline,connectwave,107.0,,,False,True,369,True,True,False,False,2024Q2,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024217,Vertice,ACC-1103,SMB,Closed Won,17777.73,2025-01-27,ana.lima@raptorsoft.com,Pipeline,2024-09-02,110.0,,Closed Won,pipeline,vertice,147.0,,,False,False,0,False,False,True,False,2025Q1,2024Q3,SMB,Mid-Market,HIGH,employees_median,147.0
OPP-2024218,Innova Tech,ACC-1116,SMB,Qualification,34728.65,2024-12-31,ana.lima@raptorsoft.com,Pipeline,2024-11-23,105.0,,Discovery/Qualification,pipeline,innova,38.0,,,False,True,105,True,False,False,False,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024219,connectwave,ACC-1107,Mid-Market,prospecting,111550.3,2024-12-20,pedro@raptorsoft.com,Commit,2024-03-20,95.0,HS-90293,Prospecting,commit,connectwave,275.0,,,False,True,116,True,False,False,False,2024Q4,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024220,bluepath,ACC-1119,Enterprise,Proposal,128537.63,2024-08-07,pedro@raptorsoft.com,Commit,2024-06-10,35.0,HS-90533,Proposal,commit,bluepath,58.0,,,False,True,251,True,False,False,False,2024Q3,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024221,Sky Ops,ACC-1108,SMB,Qualification,28170.79,2024-01-10,pedro@raptorsoft.com,omit,2023-07-24,99.0,,Discovery/Qualification,omit,skyops,170.0,,,False,True,461,True,False,False,False,2024Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024222,Amplia,ACC-1113,Enterprise,Qualification,152510.84,2024-01-01,mariana@raptorsoft.com,Commit,2024-05-12,70.0,HS-90714,Discovery/Qualification,commit,amplia,-132.0,,,False,True,470,True,False,False,False,2024Q1,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024223,Mindbox,ACC-1111,Mid-Market,Negotiation,139070.78,2024-10-10,ana.lima@raptorsoft.com,Commit,2024-09-18,1.0,HS-90480,Negotiation,commit,mindbox,22.0,,,False,True,187,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024224,Amplia,ACC-1113,Mid-Market,Prop,101640.45,2024-11-24,ana.lima@raptorsoft.com,Omit,2024-10-31,83.0,HS-90081,Proposal,omit,amplia,24.0,,,False,True,142,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024225,ORBIT DIGITAL,ACC-1104,Mid-Market,Discovery,62258.64,2024-06-12,carlos@raptorsoft.com,Omit,2024-04-04,63.0,,Discovery/Qualification,omit,orbit,69.0,,,False,True,307,True,False,False,False,2024Q2,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024226,BluePath,,SMB,Closed Won,5287.14,2024-06-08,mariana@raptorsoft.com,Omit,2023-11-06,5.0,,Closed Won,omit,bluepath,215.0,,,False,False,0,False,False,True,False,2024Q2,2023Q4,SMB,Mid-Market,HIGH,employees_median,215.0
OPP-2024227,rushflow,ACC-1110,SMB,Closed Lost,5441.54,2024-10-25,pedro@raptorsoft.com,pipeline,2024-03-13,27.0,HS-90162,Closed Lost,pipeline,rushflow,226.0,,,False,False,0,False,False,False,True,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024228,Acme Corp,,Enterprise,Discovery,120835.01,2023-12-30,ana.lima@raptorsoft.com,Omit,2023-11-03,75.0,HS-90043,Discovery/Qualification,omit,acme,57.0,,,False,True,472,True,False,False,False,2023Q4,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024229,Amplia,ACC-1113,Mid-Market,Discovery,89990.3,2024-12-28,ana.lima@raptorsoft.com,Pipeline,2023-12-06,102.0,HS-90571,Discovery/Qualification,pipeline,amplia,388.0,,,False,True,108,True,False,False,False,2024Q4,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024230,TAPFLOW,ACC-1115,Mid-Market,Closed Won,72980.1,2025-01-24,mariana@raptorsoft.com,Commit,2024-09-22,24.0,HS-90281,Closed Won,commit,tapflow,124.0,,,False,False,0,False,False,True,False,2025Q1,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,124.0
OPP-2024231,mindbox,ACC-1111,Enterprise,Prospecting,316642.38,2025-01-12,joao@raptorsoft.com,Omit,2023-12-12,47.0,HS-90064,Prospecting,omit,mindbox,397.0,,,False,True,93,True,False,False,False,2025Q1,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024232,Rush Flow,ACC-1110,SMB,Closed Lost,26456.37,2025-01-26,ana.lima@raptorsoft.com,Pipeline,2024-11-21,5.0,HS-90032,Closed Lost,pipeline,rushflow,66.0,,,False,False,0,False,False,False,True,2025Q1,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024233,innova,ACC-1116,Mid-Market,Prospecting,38504.88,2024-11-25,joao@raptorsoft.com,Pipeline,2024-03-19,96.0,,Prospecting,pipeline,innova,251.0,,,False,True,141,True,False,False,False,2024Q4,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024234,zentra,ACC-1112,Mid-Market,Closed Lost,145270.41,2024-06-09,ana.lima@raptorsoft.com,Best Case,2023-09-11,23.0,HS-90108,Closed Lost,best_case,zentra,272.0,,,False,False,0,False,False,False,True,2024Q2,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024235,Mind Box,ACC-1111,Mid-Market,Prospecting,78186.86,2025-01-01,carlos@raptorsoft.com,Commit,2024-09-10,53.0,HS-90331,Prospecting,commit,mindbox,113.0,,,False,True,104,True,False,False,False,2025Q1,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024236,Mind Box,ACC-1111,SMB,Discovery,20662.49,2023-05-19,ana.lima@raptorsoft.com,best case,2024-03-17,3.0,HS-90523,Discovery/Qualification,best_case,mindbox,-303.0,,,False,True,697,True,False,False,False,2023Q2,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024237,Polaris,ACC-1118,SMB,Proposal,9844.29,2024-02-14,carlos@raptorsoft.com,Best Case,2023-08-08,23.0,HS-90097,Proposal,best_case,polaris,190.0,,,False,True,426,True,False,False,False,2024Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024238,DataPrime,,Mid-Market,Prospecting,70126.76,2024-08-24,pedro@raptorsoft.com,Best Case,2024-07-25,82.0,,Prospecting,best_case,dataprime,30.0,,,False,True,234,True,False,False,False,2024Q3,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024239,RushFlow,ACC-1110,SMB,Closed Won,6768.19,2025-01-29,mariana@raptorsoft.com,Omit,2024-11-26,44.0,,Closed Won,omit,rushflow,64.0,,,False,False,0,False,False,True,False,2025Q1,2024Q4,SMB,Mid-Market,HIGH,employees_median,64.0
OPP-2024240,Beta Solutions Ltda,ACC-1101,Mid-Market,Closed Lost,88543.33,2024-09-21,carlos@raptorsoft.com,Best Case,2023-11-11,42.0,HS-90687,Closed Lost,best_case,betasolutions,315.0,,,False,False,0,False,False,False,True,2024Q3,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024241,connectwave,ACC-1107,SMB,Negotiation,31938.85,2025-01-08,ana.lima@raptorsoft.com,Best Case,2024-06-17,48.0,,Negotiation,best_case,connectwave,205.0,,,False,True,97,True,False,False,False,2025Q1,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024242,zentra,ACC-1112,SMB,Prospecting,33149.83,2025-01-20,pedro@raptorsoft.com,Commit,2024-04-20,19.0,HS-90679,Prospecting,commit,zentra,275.0,,,False,True,85,True,False,False,False,2025Q1,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024243,Fluxo,ACC-1105,SMB,Closed Lost,14494.85,2024-12-25,joao@raptorsoft.com,Commit,2024-01-22,114.0,HS-90520,Closed Lost,commit,fluxo,338.0,,,False,False,0,False,False,False,True,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024244,beta solutions,ACC-1101,SMB,Qualification,38837.7,2025-01-13,,Commit,2023-09-29,88.0,,Discovery/Qualification,commit,betasolutions,472.0,,,False,True,92,True,False,False,False,2025Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024245,beta solutions,ACC-1101,SMB,Closed Lost,38044.78,2024-11-08,pedro@raptorsoft.com,Pipeline,2024-07-31,79.0,,Closed Lost,pipeline,betasolutions,100.0,,,False,False,0,False,False,False,True,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024246,BLUEPATH,,Enterprise,Proposal,316541.53,2024-06-20,ana.lima@raptorsoft.com,Best Case,2024-06-02,73.0,HS-90545,Proposal,best_case,bluepath,18.0,,,False,True,299,True,False,False,False,2024Q2,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024247,nexus,ACC-1102,SMB,DISCOVERY,35804.62,2025-01-20,joao@raptorsoft.com,best case,2023-11-27,4.0,,Discovery/Qualification,best_case,nexus,420.0,,,False,True,85,True,False,False,False,2025Q1,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024248,ORBIT DIGITAL,ACC-1104,Mid-Market,Prospecting,90278.95,2024-10-05,ana.lima@raptorsoft.com,Omit,2024-07-02,95.0,HS-90227,Prospecting,omit,orbit,95.0,,True,False,True,192,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024249,Blue Path,ACC-1119,Mid-Market,Qualification,134055.48,2024-12-17,joao@raptorsoft.com,Omit,2023-09-06,106.0,HS-90760,Discovery/Qualification,omit,bluepath,468.0,,,False,True,119,True,False,False,False,2024Q4,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024250,RushFlow,ACC-1110,Mid-Market,Prop,35089.91,2024-09-17,pedro@raptorsoft.com,Pipeline,2023-08-09,7.0,HS-90311,Proposal,pipeline,rushflow,405.0,,,False,True,210,True,False,False,False,2024Q3,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024251,Fluxo,ACC-1105,SMB,Negotiation,29148.35,2024-06-12,mariana@raptorsoft.com,best case,2024-04-27,750.0,HS-90206,Negotiation,best_case,fluxo,46.0,,,True,True,307,True,False,False,False,2024Q2,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024252,Beta Solutions Ltda,ACC-1101,SMB,Closed Won,8191.69,2024-12-11,,Best Case,2023-12-15,22.0,,Closed Won,best_case,betasolutions,362.0,,,False,False,0,False,False,True,False,2024Q4,2023Q4,SMB,Mid-Market,HIGH,employees_median,362.0
OPP-2024253,Grupo Nexus,ACC-1102,Mid-Market,Proposal,145315.93,2024-01-03,,Pipeline,2023-08-22,64.0,HS-90622,Proposal,pipeline,nexus,134.0,,,False,True,468,True,False,False,False,2024Q1,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024254,Orbit,ACC-1104,Mid-Market,Proposal,102012.25,2025-01-17,joao@raptorsoft.com,best case,2024-10-30,5.0,,Proposal,best_case,orbit,79.0,,,False,True,88,True,False,False,False,2025Q1,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024255,polaris,ACC-1118,SMB,Qualification,14953.32,2025-01-20,carlos@raptorsoft.com,Omit,2024-08-30,12.0,HS-90388,Discovery/Qualification,omit,polaris,143.0,,,False,True,85,True,False,False,False,2025Q1,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024256,TAPFLOW,ACC-1115,Enterprise,Discovery,231683.41,2024-04-06,mariana@raptorsoft.com,pipeline,2023-09-05,78.0,,Discovery/Qualification,pipeline,tapflow,214.0,,,False,True,374,True,False,False,False,2024Q2,2023Q3,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024257,Mind Box,ACC-1111,Mid-Market,Negotiation,105822.91,2024-09-17,joao@raptorsoft.com,Commit,2023-11-10,60.0,HS-90212,Negotiation,commit,mindbox,312.0,,,False,True,210,True,False,False,False,2024Q3,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024258,Blue Path,ACC-1119,SMB,Discovery,27312.62,2023-11-04,joao@raptorsoft.com,Commit,2024-06-06,44.0,HS-90029,Discovery/Qualification,commit,bluepath,-215.0,,,False,True,528,True,False,False,False,2023Q4,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024259,VERTICE TECH,ACC-1103,Enterprise,Proposal,350880.2,2025-01-09,mariana@raptorsoft.com,Omit,2024-11-02,8.0,,Proposal,omit,vertice,68.0,,,False,True,96,True,False,False,False,2025Q1,2024Q4,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024260,RushFlow,ACC-1110,SMB,Closed Lost,32852.4,2024-08-29,mariana@raptorsoft.com,Best Case,2024-06-04,15.0,HS-90322,Closed Lost,best_case,rushflow,86.0,,,False,False,0,False,False,False,True,2024Q3,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024261,Fluxo Sistemas Ltda,ACC-1105,SMB,Discovery,38275.44,2024-03-19,joao@raptorsoft.com,Pipeline,2024-02-29,116.0,HS-90495,Discovery/Qualification,pipeline,fluxo,19.0,,,False,True,392,True,False,False,False,2024Q1,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024262,Rush Flow,ACC-1110,Mid-Market,Closed Lost,142562.86,2024-11-28,pedro@raptorsoft.com,Omit,2023-11-24,40.0,HS-90341,Closed Lost,omit,rushflow,370.0,,,False,False,0,False,False,False,True,2024Q4,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024263,Acme Corp.,ACC-1100,Mid-Market,Prospecting,137056.27,2024-10-03,carlos@raptorsoft.com,Omit,2024-05-15,36.0,HS-90211,Prospecting,omit,acme,141.0,,,False,True,194,True,False,False,False,2024Q4,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024264,rushflow,ACC-1110,SMB,Negotiation,7493.5,2023-02-21,joao@raptorsoft.com,Pipeline,2024-04-16,23.0,HS-90706,Negotiation,pipeline,rushflow,-420.0,,,False,True,784,True,False,False,False,2023Q1,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024265,Zentra Tech,ACC-1112,SMB,Closed Won,33325.49,2024-11-04,mariana@raptorsoft.com,commit,2024-01-19,29.0,,Closed Won,commit,zentra,290.0,,,False,False,0,False,False,True,False,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,290.0
OPP-2024266,polaris,ACC-1118,SMB,Proposal,7287.78,2024-08-08,mariana@raptorsoft.com,Best Case,2024-05-28,102.0,HS-90309,Proposal,best_case,polaris,72.0,,,False,True,250,True,False,False,False,2024Q3,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024267,Sky Ops,ACC-1108,SMB,Negotiation,21883.11,2024-10-12,carlos@raptorsoft.com,Omit,2024-03-06,31.0,HS-90728,Negotiation,omit,skyops,220.0,,,False,True,185,True,False,False,False,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024268,POLARE,ACC-1109,Mid-Market,Discovery,51140.88,2024-10-30,joao@raptorsoft.com,Omit,2024-10-17,105.0,HS-90651,Discovery/Qualification,omit,polare,13.0,,,False,True,167,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024269,TAPFLOW,ACC-1115,Mid-Market,Negotiation,83659.17,2024-11-13,mariana@raptorsoft.com,Commit,2024-10-06,118.0,HS-90626,Negotiation,commit,tapflow,38.0,,,False,True,153,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024270,SkyOps,ACC-1108,SMB,Prospecting,24210.98,2023-10-16,pedro@raptorsoft.com,Pipeline,2024-04-27,41.0,,Prospecting,pipeline,skyops,-194.0,,,False,True,547,True,False,False,False,2023Q4,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024271,Vértice Tech,ACC-1103,SMB,Closed Lost,34398.69,2024-08-31,mariana@raptorsoft.com,omit,2024-07-28,18.0,HS-90712,Closed Lost,omit,vertice,34.0,,,False,False,0,False,False,False,True,2024Q3,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024272,SkyOps,ACC-1108,SMB,Negotiation,-18465.02,2025-01-12,carlos@raptorsoft.com,Best Case,2024-09-07,70.0,HS-90581,Negotiation,best_case,skyops,127.0,,,False,True,93,True,True,False,False,2025Q1,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024273,connectwave,ACC-1107,Mid-Market,Qualification,133122.08,2023-04-01,joao@raptorsoft.com,Best Case,2023-09-20,70.0,HS-90351,Discovery/Qualification,best_case,connectwave,-172.0,,,False,True,745,True,False,False,False,2023Q2,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024274,Acme Corp,ACC-1100,Mid-Market,Negotiation,145269.76,2024-10-27,pedro@raptorsoft.com,Commit,2024-10-23,81.0,HS-90672,Negotiation,commit,acme,4.0,,,False,True,170,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024275,Innova,ACC-1116,Mid-Market,Negotiation ,124051.54,2024-09-06,pedro@raptorsoft.com,Pipeline,2024-04-19,76.0,,Negotiation,pipeline,innova,140.0,,,False,True,221,True,False,False,False,2024Q3,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024276,CoreLogic,ACC-1114,Mid-Market,Discovery,101465.29,2024-09-28,ana.lima@raptorsoft.com,Best Case,2023-08-03,94.0,HS-90773,Discovery/Qualification,best_case,corelogic,422.0,,,False,True,199,True,False,False,False,2024Q3,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024277,Beta Solutions,ACC-1101,Mid-Market,Discovery,140695.11,2024-12-18,,Best Case,2024-10-30,119.0,HS-90542,Discovery/Qualification,best_case,betasolutions,49.0,,,False,True,118,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024278,acme,ACC-1100,Enterprise,Closed Lost,233986.96,2024-07-22,ana.lima@raptorsoft.com,Omit,2024-06-27,76.0,HS-90706,Closed Lost,omit,acme,25.0,,,False,False,0,False,False,False,True,2024Q3,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024279,dataprime,ACC-1106,SMB,Prop,8419.46,2024-04-24,joao@raptorsoft.com,pipeline,2023-07-09,85.0,,Proposal,pipeline,dataprime,290.0,,,False,True,356,True,False,False,False,2024Q2,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024280,BLUEPATH,ACC-1119,SMB,Proposal,36496.4,2024-11-01,joao@raptorsoft.com,Commit,2023-11-11,119.0,HS-90683,Proposal,commit,bluepath,356.0,,,False,True,165,True,False,False,False,2024Q4,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024281,DataPrime,ACC-1106,SMB,Discovery,18397.97,2024-01-27,ana.lima@raptorsoft.com,Pipeline,2023-09-14,23.0,HS-90787,Discovery/Qualification,pipeline,dataprime,135.0,,,False,True,444,True,False,False,False,2024Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,
